BioID;TmID;Played;Started;Minutes;Points;Attempts;Made
jianlyi01;WAS;63;11;1112;355;91;62
johnsam01;TOR;72;54;1853;688;160;126
jeffrja01;HOU;18;0;138;27;10;4
jennibr01;MIL;63;61;2169;1019;246;199
jefferi01;SAS;81;81;2459;891;195;148
jeffeot01;SAS;1;0;8;2;0;0
jeffeal01;UTA;82;82;2940;1528;289;220
jamisan01;CLE;56;38;1842;1010;234;171
jacksst02;CHA;67;67;2405;1240;305;249
jamesle01;MIA;79;79;3063;2111;663;503
jackja01;TOR;13;13;347;140;46;40
jacksda01;SAC;59;2;486;187;49;30
ilyaser01;MIL;60;34;1505;571;104;93
iveyro01;OKC;25;0;155;41;2;2
ilgauzy01;MIA;72;51;1145;360;46;36
humphkr01;NJN;74;44;2061;741;191;127
ibakase01;OKC;82;44;2216;808;184;138
iguodan01;PHI;67;67;2469;945;300;208
howarju01;MIA;57;0;592;139;35;29
hudsole01;WAS;11;0;73;18;4;2
howarjo01;WAS;18;10;409;152;47;29
houseed01;MIA;56;1;978;362;40;38
howardw01;ORL;78;78;2935;1784;916;546
horfoal01;ATL;77;77;2704;1178;188;150
holidjr01;PHI;82;82;2901;1145;209;172
holliry01;CLE;70;16;1182;373;163;111
hinriki01;WAS;48;29;1471;531;105;92
hillgr01;PHO;80;80;2409;1056;257;213
hilljo01;HOU;72;11;1124;406;85;60
hilarne01;DEN;75;75;2291;1091;402;286
hillge01;SAS;76;5;2148;884;270;233
hicksjj01;CLE;80;66;2256;1105;367;247
hendege02;CHA;68;30;1661;653;163;128
hibbero01;IND;81;80;2244;1025;275;205
haywobr01;DAL;72;8;1331;320;177;64
headlu01;SAC;36;14;586;200;50;39
hayesch01;HOU;74;63;2079;582;142;94
hasleud01;MIA;13;0;345;104;20;16
hawessp01;PHI;81;81;1718;584;88;47
harride01;NJN;54;54;1724;811;307;258
harrimi01;HOU;4;0;16;8;4;2
harrial01;DEN;73;3;1665;765;117;86
hamilri01;DET;55;39;1498;777;172;146
hansbty01;IND;70;29;1535;767;253;197
hardeja01;OKC;82;5;2189;998;343;289
haddaha01;MEM;31;0;168;75;23;15
greenje02;BOS;26;2;612;254;63;50
